Gene,logFC,logCPM,p value,FDR
CNOT4,-0.714697148,4.164242845,1.24E-14,3.99E-14
RCC1,-0.425731145,7.416502933,1.28E-14,4.09E-14
APOBEC3C,0.905924897,3.082683733,1.28E-14,4.10E-14
FAR2P1,1.490503883,1.490627472,1.31E-14,4.22E-14
SLC4A1AP,-0.526198511,5.563097194,1.35E-14,4.32E-14
SENP7,0.890962149,3.352002363,1.36E-14,4.36E-14
DLEU2,0.816887086,3.465662538,1.37E-14,4.38E-14
TIMM8A,-0.97201225,2.864347197,1.37E-14,4.39E-14
EPN2,-0.582775912,5.448617787,1.39E-14,4.45E-14
ADGRB2,1.373591542,1.880222294,1.40E-14,4.48E-14
PITPNM2,-0.652517234,5.419022256,1.40E-14,4.48E-14
LOC100129484,1.355880211,1.785650135,1.41E-14,4.52E-14
PAFAH1B1,-0.447656093,6.533429806,1.45E-14,4.65E-14
GATA6-AS1,1.758925668,1.017658183,1.46E-14,4.68E-14
ADSSL1,0.63869832,4.570232447,1.47E-14,4.69E-14
GFPT2,-0.864758159,3.156604308,1.47E-14,4.70E-14
TIAL1,-0.588509095,5.186208438,1.47E-14,4.70E-14
SLC2A6,1.045781696,2.565563391,1.50E-14,4.80E-14
AHCY,-0.399364261,8.37921432,1.50E-14,4.81E-14
NDUFV1,0.414133267,7.533967104,1.54E-14,4.92E-14
GLYR1,-0.414283461,7.324593509,1.56E-14,4.99E-14
GPX3,-1.047387012,2.78987275,1.60E-14,5.10E-14
UROS,0.510169765,5.484732887,1.63E-14,5.21E-14
LINC01804,0.921006021,2.854121965,1.64E-14,5.25E-14
DNAJB12,-0.505045114,5.708795092,1.65E-14,5.27E-14
CEP83,0.678154075,4.103593048,1.66E-14,5.30E-14
USF3,-0.612380693,5.373093273,1.67E-14,5.33E-14
S100A7,-2.034125084,0.63369886,1.73E-14,5.53E-14
PYCR2,0.504775773,6.220304109,1.74E-14,5.54E-14
CWF19L1,0.558166141,5.581249076,1.76E-14,5.60E-14
VWDE,0.651316389,4.167073462,1.76E-14,5.61E-14
PNCK,-1.315835545,3.128726766,1.76E-14,5.61E-14
KLHDC8B,1.102671983,2.56842305,1.78E-14,5.68E-14
MGEA5,-0.424072283,6.902658189,1.79E-14,5.71E-14
RAP2C-AS1,0.845873615,3.171591277,1.80E-14,5.75E-14
CSE1L,-0.410407261,8.466447366,1.84E-14,5.85E-14
POMGNT1,0.496201942,6.064361495,1.86E-14,5.91E-14
PAN2,0.601925873,4.462625272,1.87E-14,5.96E-14
CHAF1A,-0.480022805,6.421550385,1.89E-14,6.02E-14
C11orf95,-0.840558855,3.413205572,1.89E-14,6.03E-14
IQCA1,1.340487883,1.858371409,1.92E-14,6.11E-14
MPND,-0.618437913,4.435763308,1.94E-14,6.17E-14
ZNF449,0.907678311,2.878195808,1.96E-14,6.23E-14
NDST1-AS1,1.732099074,1.081725102,1.97E-14,6.26E-14
CYR61,0.569663843,5.484808095,1.98E-14,6.30E-14
SSH3,0.664923474,4.18269088,1.99E-14,6.33E-14
GTF2H3,0.471148542,5.877243898,2.01E-14,6.39E-14
H2AFJ,-0.471425416,6.333723914,2.02E-14,6.41E-14
ZIC5,1.555457529,1.326886926,2.03E-14,6.45E-14
GPSM1,0.647321216,4.662801621,2.04E-14,6.46E-14
RN7SK,-0.470311719,11.66188136,2.08E-14,6.61E-14
MLX,-0.609256454,4.624261732,2.13E-14,6.77E-14
NUP214,-0.52182425,6.303903039,2.14E-14,6.80E-14
ZKSCAN1,-0.495898345,5.481907759,2.15E-14,6.82E-14
INTS5,-0.5097576,5.510826546,2.22E-14,7.04E-14
MICAL1,0.664845487,4.467384592,2.28E-14,7.24E-14
TEX37,1.132495101,2.287644539,2.29E-14,7.24E-14
LIPT2,0.927334608,2.742975458,2.32E-14,7.34E-14
BLCAP,0.460207767,6.54271239,2.32E-14,7.36E-14
SH2D3A,-0.533433366,5.801954095,2.39E-14,7.58E-14
UNQ6494,-2.356148976,0.397654017,2.43E-14,7.69E-14
SHTN1,0.548113368,5.529679543,2.47E-14,7.80E-14
UHRF2,0.51089889,5.37425084,2.53E-14,8.01E-14
NDUFAF6,0.644718088,4.274979291,2.57E-14,8.14E-14
BLOC1S5-TXNDC5,1.110311186,2.189216936,2.71E-14,8.56E-14
ANKRD11,-0.624767023,6.62154334,2.72E-14,8.61E-14
LSM10,-0.907341732,3.664591556,2.74E-14,8.65E-14
WASF1,0.866446024,3.329193071,2.75E-14,8.68E-14
ZC3H13,-0.515205339,6.609957861,2.77E-14,8.74E-14
ARHGAP30,-1.092469784,2.567682078,2.80E-14,8.83E-14
GRIN2D,-0.719867123,4.145941939,2.80E-14,8.83E-14
SLC36A1,0.460039043,6.27959062,2.86E-14,9.02E-14
PRCP,0.518456929,5.820228267,2.90E-14,9.17E-14
PLEKHF2,0.696672787,4.079923914,2.91E-14,9.18E-14
ZNF835,0.69747332,3.924303021,3.01E-14,9.48E-14
RAB14,-0.525812041,6.128651759,3.01E-14,9.50E-14
CBX2,0.579002166,5.001159646,3.03E-14,9.56E-14
MDM4,-0.420054764,7.092973207,3.04E-14,9.57E-14
TRMT2A,-0.56110344,5.096032453,3.04E-14,9.57E-14
BDH2,1.289578828,2.052017837,3.05E-14,9.60E-14
HIST1H2AC,0.411321887,8.394813224,3.07E-14,9.68E-14
ERP44,-0.478254316,6.246589405,3.10E-14,9.78E-14
LOC100133286,-1.249233295,1.991496879,3.11E-14,9.80E-14
RAB8A,-0.438862961,7.248736046,3.11E-14,9.81E-14
CCDC13,-1.529272692,1.230913385,3.13E-14,9.86E-14
TAF6L,-0.557086755,5.165437135,3.23E-14,1.02E-13
CAPN7,-0.496760506,5.852697423,3.27E-14,1.03E-13
TIA1,0.503999825,5.495625479,3.35E-14,1.05E-13
HMGN4,-0.484388072,5.607174243,3.40E-14,1.07E-13
SBK1,-1.030777408,3.331125823,3.40E-14,1.07E-13
LOC100288911,1.210476989,1.979675032,3.40E-14,1.07E-13
MAN2A2,0.613035081,5.113120057,3.45E-14,1.08E-13
RIF1,-0.427908893,7.964307768,3.45E-14,1.08E-13
UBAP2L,-0.471163327,7.628110342,3.47E-14,1.09E-13
FABP6,2.456395773,0.274982156,3.51E-14,1.10E-13
TBC1D2,0.527106206,5.166817332,3.54E-14,1.11E-13
PRH1-PRR4,1.95477529,0.796864958,3.77E-14,1.18E-13
NUDT5,0.48513385,5.569155243,3.93E-14,1.23E-13
ABCA7,-0.60679237,4.961821668,3.95E-14,1.24E-13
PPP1R10,-0.608467052,6.036928276,4.14E-14,1.30E-13
C6orf62,-0.438038354,6.818578958,4.28E-14,1.34E-13
CHP1,-0.424619978,6.895030748,4.34E-14,1.36E-13
GDPD4,2.004497023,0.596467138,4.40E-14,1.38E-13
OCIAD1,-0.437493155,6.373991359,4.43E-14,1.39E-13
YES1,0.478939409,7.516682292,4.52E-14,1.42E-13
TMEM38B,-0.516437343,6.295120577,4.52E-14,1.42E-13
SHQ1,-0.59903654,4.315995017,4.71E-14,1.47E-13
NF2,0.566968351,4.855194508,4.76E-14,1.49E-13
PHF1,0.91574967,3.254161347,4.81E-14,1.50E-13
MACF1,0.439548213,7.582206438,4.86E-14,1.52E-13
AASDHPPT,0.575167138,5.281709146,4.98E-14,1.56E-13
GAB1,0.465686603,7.298226452,5.06E-14,1.58E-13
CC2D1B,-0.482890469,6.587106107,5.12E-14,1.60E-13
GPT,1.566206015,1.29299775,5.20E-14,1.63E-13
ARF3,-0.410240718,7.402674387,5.34E-14,1.67E-13
LZTS1,1.586499349,1.243657555,5.37E-14,1.68E-13
MYL3,2.286329999,0.34336325,5.40E-14,1.69E-13
RNASEL,0.737282971,3.690132491,5.55E-14,1.73E-13
YME1L1,-0.403254524,7.841655405,5.59E-14,1.75E-13
ABCD1,-0.451998956,6.936317233,5.64E-14,1.76E-13
SACM1L,0.532866873,5.078271764,5.64E-14,1.76E-13
MFSD3,0.652002271,4.987361288,5.71E-14,1.78E-13
TSTA3,-0.509218278,5.438966946,5.75E-14,1.79E-13
CDC7,0.640702599,4.639565584,5.80E-14,1.81E-13
RAD23A,-0.511405285,6.895016974,5.85E-14,1.83E-13
PON2,0.504266423,5.745065257,5.98E-14,1.86E-13
MARVELD3,0.658522775,4.310472197,6.00E-14,1.87E-13
SETD6,-0.515316749,5.432795224,6.04E-14,1.88E-13
SPHK1,-1.211781243,2.64547613,6.21E-14,1.93E-13
COQ10B,-0.535111555,5.522355519,6.22E-14,1.94E-13
OPLAH,0.674077329,4.750379826,6.23E-14,1.94E-13
ATP5MD,0.563161329,5.430634315,6.25E-14,1.95E-13
MYCBPAP,1.866293697,0.769241405,6.29E-14,1.96E-13
PSD4,-0.438042586,7.451913189,6.69E-14,2.08E-13
TM9SF2,-0.41982299,8.51663408,6.87E-14,2.14E-13
RBM3,0.418422718,7.272202397,6.89E-14,2.14E-13
MRE11,-0.540998173,5.122856899,6.90E-14,2.15E-13
KIRREL3,-1.283306958,2.052334547,6.91E-14,2.15E-13
DNASE2,0.460291416,5.881867398,7.02E-14,2.18E-13
TOMM34,1.006271525,2.52126227,7.08E-14,2.20E-13
CPAMD8,0.779755285,3.402597142,7.16E-14,2.22E-13
EPS8,-0.522662164,5.758437393,7.19E-14,2.23E-13
ISG20,-1.398849254,1.552489329,7.27E-14,2.26E-13
ANKRD17,-0.448373964,7.725595423,7.44E-14,2.31E-13
FRMD4A,-0.517173427,5.662236277,7.50E-14,2.33E-13
PHF21B,-1.660852184,0.993886056,7.68E-14,2.38E-13
ARNT,-0.436153402,6.543682863,7.72E-14,2.40E-13
IRAK1BP1,1.082214452,2.458855833,7.76E-14,2.41E-13
MBNL1,-0.496252608,5.952712773,7.88E-14,2.44E-13
FBXO6,1.576199488,1.258481709,7.89E-14,2.45E-13
RPS6KB1,-0.523412994,5.372687007,7.92E-14,2.46E-13
S1PR5,3.384206239,-0.354957434,8.02E-14,2.49E-13
CHST11,-0.970822005,2.629036712,8.06E-14,2.50E-13
UBXN1,-0.447663236,6.207007266,8.08E-14,2.50E-13
ESPNL,1.007303376,3.014282701,8.36E-14,2.59E-13
ITGB5,-0.401841726,7.412159832,8.47E-14,2.62E-13
TLR5,-1.803240252,0.696009752,8.50E-14,2.63E-13
RMDN3,-0.551432476,5.014273297,8.58E-14,2.65E-13
SMIM9,-2.621086909,-0.108469473,8.74E-14,2.70E-13
LINC01138,1.497184872,1.346598217,8.88E-14,2.74E-13
ZNF211,-0.541204358,4.893611159,8.91E-14,2.75E-13
EPN1,-0.463593164,6.998055903,8.95E-14,2.77E-13
LINC01135,1.661440355,0.998999522,8.99E-14,2.78E-13
LOC101928674,1.378675746,1.583257529,9.07E-14,2.80E-13
C16orf87,0.689099846,4.723422763,9.12E-14,2.82E-13
PTPN2,-0.568047252,4.689854733,9.23E-14,2.85E-13
GSDMD,0.628026124,4.749413086,9.49E-14,2.93E-13
GJB5,2.22113761,0.352616509,9.56E-14,2.95E-13
CREBRF,-0.526500492,5.198431293,9.59E-14,2.96E-13
SURF1,-0.649923709,4.856041759,9.63E-14,2.97E-13
LIMK2,0.439606454,7.137509564,9.69E-14,2.99E-13
HDAC11,0.962582068,2.801196445,1.01E-13,3.11E-13
FAM46C,-1.489093524,1.40796973,1.01E-13,3.11E-13
KCNQ2,2.439874227,0.265221521,1.01E-13,3.13E-13
MTX3,0.859293966,3.05271741,1.02E-13,3.15E-13
STIM2,-0.519052065,5.537868263,1.02E-13,3.16E-13
SAP30,0.759067869,4.013455541,1.03E-13,3.16E-13
LINC00992,0.982911986,2.739210555,1.05E-13,3.23E-13
RYR3,1.311815892,1.729281808,1.05E-13,3.24E-13
PLA2G16,-0.529072245,5.141050095,1.06E-13,3.27E-13
AGO3,-0.543433394,5.342033678,1.07E-13,3.30E-13
FAM109A,0.62054725,4.776796746,1.08E-13,3.32E-13
EIF4H,-0.387750844,7.926189621,1.11E-13,3.41E-13
ACD,0.529835515,5.152975523,1.13E-13,3.46E-13
LIME1,0.957462935,2.805367524,1.14E-13,3.50E-13
CSH2,2.440900781,0.265019661,1.14E-13,3.50E-13
ANKRD36C,1.01696035,2.554444244,1.15E-13,3.54E-13
EDN2,2.377545573,0.213831176,1.15E-13,3.54E-13
CTDNEP1,-0.52698448,5.287412971,1.17E-13,3.60E-13
SAP18,-0.448778849,6.656785683,1.18E-13,3.62E-13
RAB11FIP3,0.526866428,5.749102158,1.18E-13,3.62E-13
TP73-AS1,0.672013389,3.831904644,1.19E-13,3.65E-13
RPA1,-0.575405239,5.810142517,1.20E-13,3.69E-13
UNK,-0.530539989,5.179615399,1.21E-13,3.71E-13
EXOSC1,-0.580088697,4.462751529,1.22E-13,3.74E-13
UFM1,-0.552866772,6.413629136,1.24E-13,3.80E-13
RNF26,-0.6365697,4.964210166,1.24E-13,3.81E-13
CRK,-0.421405341,7.013717013,1.26E-13,3.85E-13
SKIV2L,-0.444938048,6.590206702,1.26E-13,3.87E-13
CHODL,0.890181242,3.020877634,1.27E-13,3.88E-13
KLF9,1.046152821,2.491686333,1.28E-13,3.93E-13
NAALAD2,1.304869797,2.224028513,1.30E-13,3.99E-13
PCYT1A,-0.511514521,5.580713573,1.32E-13,4.03E-13
ESPL1,0.648860597,4.861441586,1.32E-13,4.03E-13
HSPH1,-0.441092711,6.754503876,1.32E-13,4.05E-13
TBL1X,0.566835722,5.66981224,1.33E-13,4.07E-13
FLJ16779,3.022296093,-0.152974249,1.33E-13,4.08E-13
FAM160B2,-0.5745951,4.641144436,1.36E-13,4.17E-13
F2R,2.489126465,0.149693188,1.40E-13,4.29E-13
ZNF252P,0.682770402,3.826790425,1.41E-13,4.30E-13
PGAP1,-0.618255087,4.545765656,1.44E-13,4.39E-13
KPNA4,-0.480103749,6.388191618,1.44E-13,4.41E-13
C1GALT1C1,0.629453037,4.335625182,1.52E-13,4.65E-13
SRSF5,-0.434632561,6.529506906,1.53E-13,4.67E-13
U2AF2,-0.391586233,8.50066841,1.54E-13,4.70E-13
CC2D2A,0.766689678,3.388428271,1.54E-13,4.71E-13
TMEM52B,1.16362304,1.957982442,1.57E-13,4.80E-13
ABCC5,0.519477075,5.785773697,1.58E-13,4.82E-13
MXRA7,0.533985047,4.991940419,1.59E-13,4.84E-13
LY6G6C,-0.848671638,3.103082016,1.59E-13,4.84E-13
BTN3A2,0.994342827,2.428311633,1.61E-13,4.92E-13
GALNT6,0.436378657,6.512338651,1.64E-13,4.99E-13
RRM1,-0.399371103,7.443446161,1.66E-13,5.04E-13
NCKAP1,-0.387413383,8.486765627,1.67E-13,5.09E-13
DNAJC21,-0.42863065,6.657829773,1.67E-13,5.09E-13
MMP2,-0.481416215,8.695925987,1.69E-13,5.14E-13
MTMR6,-0.526978483,5.929867626,1.72E-13,5.24E-13
NOS1AP,-1.492172679,1.379042044,1.75E-13,5.32E-13
UBR2,-0.406132242,6.897762255,1.76E-13,5.36E-13
GLRX5,0.442614152,6.235519882,1.82E-13,5.52E-13
DCTN4,-0.425752734,6.953782037,1.82E-13,5.53E-13
MYO5B,0.430182173,6.629817401,1.87E-13,5.69E-13
GOLGA8B,1.982267778,0.619756162,1.90E-13,5.78E-13
MAFG,-0.487754346,5.774804901,1.92E-13,5.85E-13
ZSCAN31,0.699596887,3.814202664,1.95E-13,5.92E-13
ELP5,-0.552171455,4.717865738,1.95E-13,5.93E-13
NT5C3B,0.677368721,4.157200044,1.95E-13,5.94E-13
PSMC3,-0.394404951,7.82989961,1.96E-13,5.96E-13
LOC101929128,-0.588364735,4.896067185,1.96E-13,5.96E-13
FBXL15,-0.625728887,4.327027386,1.97E-13,5.98E-13
ZNF561-AS1,1.521010109,1.217852448,1.97E-13,5.98E-13
GNG12,-0.434413538,8.257255326,1.97E-13,5.99E-13
SEC11A,-0.400557487,7.299797023,2.07E-13,6.27E-13
TRUB1,0.601109054,4.842908473,2.12E-13,6.43E-13
C3orf18,1.886576104,0.71154207,2.14E-13,6.49E-13
BAIAP2L1,0.541770176,5.142764836,2.17E-13,6.58E-13
MEST,2.145065108,0.462450401,2.18E-13,6.60E-13
MRPL28,0.468957027,5.75201825,2.19E-13,6.63E-13
CPE,-3.068059838,-0.398250174,2.24E-13,6.79E-13
ZC3H4,-0.561255051,6.309397933,2.27E-13,6.87E-13
LCN9,1.354319469,1.767098176,2.27E-13,6.89E-13
CAMLG,-0.590082901,4.6417408,2.33E-13,7.06E-13
DANT2,1.140573711,2.154143605,2.34E-13,7.09E-13
NKRF,-0.549081716,4.724042093,2.35E-13,7.11E-13
COMMD4,0.536432929,5.565299504,2.39E-13,7.22E-13
MRPL30,0.487511754,6.08045327,2.39E-13,7.23E-13
LMBR1L,0.619259789,4.590534348,2.40E-13,7.26E-13
PIP4P2,1.572428418,1.705905685,2.41E-13,7.30E-13
CCR10,1.13669355,2.569516003,2.54E-13,7.67E-13
HIST1H2BD,0.448341189,8.550885209,2.56E-13,7.74E-13
NDUFA4L2,2.592148117,0.059438628,2.58E-13,7.79E-13
KDM6B,0.933550087,2.780167955,2.60E-13,7.86E-13
RGMA,0.631216217,4.471843237,2.61E-13,7.87E-13
LSM6,0.689137894,3.690823723,2.61E-13,7.88E-13
VPS39,-0.519218973,5.260069703,2.64E-13,7.98E-13
OSGIN1,-1.127411589,1.974460199,2.66E-13,8.04E-13
LINC00648,1.239618503,1.933306093,2.68E-13,8.10E-13
PRKCQ-AS1,1.812344641,0.839907571,2.76E-13,8.33E-13
CLUHP3,0.966883206,2.557218137,2.79E-13,8.40E-13
CAPG,0.491932182,5.696094252,2.81E-13,8.48E-13
TECPR1,0.594184225,4.749934409,2.83E-13,8.52E-13
CD99,0.558795836,5.562937471,2.83E-13,8.52E-13
TGM1,0.815406497,3.663678207,2.85E-13,8.58E-13
CDKN2AIPNL,0.534287647,5.107726932,2.90E-13,8.72E-13
PCDHB11,1.163996169,2.073753377,2.90E-13,8.72E-13
WDR27,0.609532832,4.518799689,2.96E-13,8.90E-13
CBFB,0.437103144,6.687446096,2.99E-13,8.99E-13
KAT6A,-0.461660915,5.964973543,3.04E-13,9.15E-13
ENO1,0.381208659,9.919296626,3.06E-13,9.20E-13
TMEM155,-2.434295827,-0.018711251,3.06E-13,9.21E-13
SPIN3,0.894968555,2.699854841,3.06E-13,9.21E-13
TRHDE-AS1,1.04105819,2.381935997,3.07E-13,9.23E-13
PSMA1,-0.431728565,6.871143001,3.08E-13,9.25E-13
TM9SF1,-0.432848597,6.797033768,3.13E-13,9.42E-13
SNHG11,0.802005152,3.137243334,3.19E-13,9.59E-13
NPAS2,1.01137534,2.319459922,3.20E-13,9.62E-13
OMA1,0.556718861,4.95840955,3.23E-13,9.70E-13
ARHGEF40,1.459335932,1.278560987,3.25E-13,9.76E-13
SCAMP3,-0.484400951,5.624271254,3.26E-13,9.77E-13
PPP1R13B,-0.733527476,3.683818132,3.30E-13,9.91E-13
TCTN1,0.910229777,2.764650164,3.32E-13,9.97E-13
IBA57,-0.57023371,5.370843292,3.34E-13,1.00E-12
GPATCH8,-0.479863404,6.039026668,3.34E-13,1.00E-12
RTKN2,-0.65998664,3.926221062,3.38E-13,1.01E-12
FKBP9,0.465858432,5.745139331,3.40E-13,1.02E-12
G6PD,-0.537527435,5.215758932,3.54E-13,1.06E-12
RAB3GAP1,-0.39690403,7.152298315,3.58E-13,1.07E-12
ZW10,-0.513872659,5.18508326,3.65E-13,1.09E-12
SLC29A3,0.76927712,4.048485378,3.74E-13,1.12E-12
EEF1AKMT2,0.621315983,4.037477085,3.87E-13,1.16E-12
IER3IP1,-0.554766865,5.594600443,3.94E-13,1.18E-12
NIPSNAP2,0.520328495,5.150707147,4.10E-13,1.23E-12
SLC35A3,0.551996466,5.269308971,4.11E-13,1.23E-12
ZNF697,-0.519240806,5.185704119,4.12E-13,1.23E-12
DNAJC9,-0.493646328,5.784182636,4.12E-13,1.23E-12
WWC2-AS2,1.445955539,1.407690471,4.12E-13,1.23E-12
MIR600HG,0.686038391,3.897727363,4.18E-13,1.25E-12
TEX35,3.174380255,-0.339620435,4.21E-13,1.26E-12
C1orf74,0.856422808,2.983126724,4.27E-13,1.28E-12
ZRANB2,-0.571320183,5.444614593,4.30E-13,1.29E-12
SGCB,0.755612172,3.311306859,4.31E-13,1.29E-12
ANOS1,1.403766281,1.482652128,4.40E-13,1.32E-12
ANPEP,1.795960978,0.893009921,4.41E-13,1.32E-12
KCNH2,-1.960869247,0.423677105,4.41E-13,1.32E-12
CHUK,-0.579526838,5.635361953,4.47E-13,1.33E-12
TFR2,1.086460832,2.181799333,4.48E-13,1.34E-12
PTK2,0.448528485,6.885124459,4.49E-13,1.34E-12
FOXA1,-2.583709246,-0.13551733,4.49E-13,1.34E-12
SSX2IP,0.607723448,4.397441991,4.59E-13,1.37E-12
DBNL,0.445159733,6.49159909,4.72E-13,1.41E-12
P4HA2,0.493976281,5.302954786,4.91E-13,1.46E-12
SLC9A7P1,2.301555824,0.223886938,4.98E-13,1.49E-12
PTPA,0.427152727,8.032902017,5.15E-13,1.53E-12
FZD7,0.655198109,3.808807398,5.26E-13,1.57E-12
APBB3,0.854443827,3.814251083,5.26E-13,1.57E-12
ZNF28,-0.524641764,6.541853983,5.29E-13,1.58E-12
C11orf1,0.717412149,4.044787663,5.30E-13,1.58E-12
SPPL3,-0.573061434,4.724817602,5.34E-13,1.59E-12
EXD3,-0.695277034,3.909045962,5.35E-13,1.59E-12
DHX15,-0.388482493,8.054155477,5.40E-13,1.61E-12
ZFAND1,0.652599613,3.977004356,5.45E-13,1.62E-12
FAM50B,0.838420599,3.072536657,5.56E-13,1.65E-12
JPX,0.658463174,4.32316717,5.62E-13,1.67E-12
JAZF1,-1.585234825,1.053240333,5.85E-13,1.74E-12
NOL7,-0.466771559,6.505503324,5.88E-13,1.75E-12
ZNF670-ZNF695,1.807098443,0.726526265,6.65E-13,1.98E-12
C1RL,0.758193951,3.425356735,6.65E-13,1.98E-12
POC5,0.6559614,4.484430894,6.68E-13,1.98E-12
ZC3H7B,0.426742133,6.793815547,6.79E-13,2.02E-12
CLK2,-0.537809831,5.95261925,6.80E-13,2.02E-12
TBCEL,0.660225511,3.984643234,6.93E-13,2.06E-12
RFX1,-0.773369511,4.133350909,6.94E-13,2.06E-12
MPG,0.568140916,5.239640387,6.97E-13,2.07E-12
IPO7,-0.415339312,8.146440911,6.98E-13,2.07E-12
FARP1,0.63700954,4.850404936,7.06E-13,2.09E-12
CHMP1A,-0.407057539,7.491268918,7.20E-13,2.13E-12
MT1X,0.594589983,4.545187351,7.28E-13,2.16E-12
ACP1,-0.40745147,7.004324854,7.32E-13,2.17E-12
BMP1,-0.541771944,5.292299783,7.37E-13,2.18E-12
METTL8,0.570628934,5.022899331,7.42E-13,2.20E-12
LSM11,0.543220743,4.766267062,7.46E-13,2.21E-12
FBXO3,-0.611260684,4.937878459,7.53E-13,2.23E-12
ARHGAP4,1.143767279,2.277429066,7.57E-13,2.24E-12
GPATCH11,-0.474971784,5.63944044,7.59E-13,2.25E-12
KLHL28,-0.572481038,5.212797904,7.66E-13,2.27E-12
EIF1AY,0.608505671,5.08765486,7.73E-13,2.29E-12
LRRC6,1.25434073,1.768876603,7.78E-13,2.30E-12
EML5,0.819253657,3.600299433,7.80E-13,2.31E-12
EPS15L1,0.51781291,5.603152394,7.83E-13,2.31E-12
MPHOSPH8,0.488361863,5.522870793,7.97E-13,2.35E-12
C2CD2L,-0.677145442,3.799431471,8.01E-13,2.36E-12
RPL27,-0.392371535,8.478678706,8.06E-13,2.38E-12
SRRM1,-0.588481318,5.554166432,8.22E-13,2.43E-12
THRAP3,-0.380357771,8.055308845,8.25E-13,2.43E-12
HMBS,-0.911667903,3.329905875,8.26E-13,2.44E-12
NUDCD1,0.6162116,4.47631449,8.31E-13,2.45E-12
FOXO1,0.564982592,4.894158374,8.36E-13,2.47E-12
BTN3A1,0.922177178,2.734441889,8.36E-13,2.47E-12
FAM220A,-0.57179152,4.551174873,8.69E-13,2.56E-12
PIF1,0.615774934,4.292654281,8.72E-13,2.57E-12
SELENOK,-0.543564123,4.934254139,8.82E-13,2.60E-12
DEPDC7,1.114701131,1.997131782,8.89E-13,2.62E-12
PELP1,-0.449498379,7.458059253,9.08E-13,2.67E-12
SMG9,-0.562245166,5.109552074,9.11E-13,2.68E-12
KIAA0232,0.458854423,5.707311707,9.17E-13,2.70E-12
SEC63,-0.518265283,5.878462811,9.18E-13,2.70E-12
FAM192A,0.407221038,6.736014457,9.23E-13,2.72E-12
P2RY2,1.282561037,1.750947209,9.26E-13,2.72E-12
NBPF14,1.522305988,1.217229016,9.29E-13,2.73E-12
PLA2G12A,-0.569267207,4.773818975,9.38E-13,2.76E-12
SNX11,-0.574086741,4.902413693,9.42E-13,2.77E-12
HDGFL3,0.651634653,3.771888654,9.52E-13,2.80E-12
ANGEL1,-0.521095122,5.211703182,9.55E-13,2.81E-12
MON1A,-0.673314838,3.77016818,9.57E-13,2.81E-12
ZNF48,0.637092952,3.957082213,9.60E-13,2.82E-12
PIM2,0.868078366,2.846120141,9.60E-13,2.82E-12
CNPPD1,-0.440409715,6.40929118,9.90E-13,2.91E-12
PRRC2A,-0.534660099,7.903017022,1.00E-12,2.93E-12
CCNQ,-0.518307155,5.204287883,1.01E-12,2.96E-12
SYNGR3,0.731199571,3.398895044,1.04E-12,3.05E-12
BMP4,2.390760725,0.149753176,1.04E-12,3.05E-12
ZNF71,0.56539197,4.401598802,1.04E-12,3.05E-12
BCR,-0.402247152,7.290636826,1.05E-12,3.08E-12
SCRN1,-1.762858185,0.666151145,1.06E-12,3.10E-12
RIOK2,-0.467522877,5.675236453,1.06E-12,3.11E-12
SOCS2,0.599990768,4.23725236,1.07E-12,3.13E-12
LINC01819,1.302260749,1.696725953,1.08E-12,3.18E-12
ABCF3,-0.489133522,5.555256588,1.09E-12,3.20E-12
MYO1D,-0.690453898,3.913822339,1.11E-12,3.24E-12
GRHPR,0.439062017,5.87934616,1.13E-12,3.31E-12
EAPP,0.510190977,6.066416647,1.13E-12,3.31E-12
PRMT7,-0.435454133,6.34356242,1.13E-12,3.31E-12
TCEAL7,0.791657033,3.126799404,1.15E-12,3.36E-12
GADD45GIP1,-0.470830325,5.627535064,1.15E-12,3.36E-12
EXOSC10,-0.411899497,6.515376378,1.15E-12,3.37E-12
TTTY14,0.895630874,3.078175861,1.16E-12,3.40E-12
DHODH,0.641849047,4.343878752,1.17E-12,3.41E-12
NECAB3,0.515995209,5.344378018,1.18E-12,3.45E-12
RGS14,0.622584507,4.243182186,1.19E-12,3.47E-12
ZNF839,0.555368016,4.755606737,1.19E-12,3.47E-12
DAD1,-0.432421544,6.901887098,1.19E-12,3.48E-12
ABHD17A,0.575962736,4.927201811,1.20E-12,3.49E-12
CCDC50,0.531945595,4.837465193,1.20E-12,3.49E-12
HACE1,0.500406423,5.250408893,1.22E-12,3.56E-12
RGS12,0.658212763,3.83308282,1.25E-12,3.65E-12
G6PC3,0.45569191,6.15733837,1.25E-12,3.66E-12
WHAMMP3,2.759018337,-0.112779426,1.26E-12,3.66E-12
GATS,1.082402651,2.1130427,1.26E-12,3.67E-12
EVI5L,-0.422563438,6.452462866,1.26E-12,3.67E-12
NMD3,-0.475720626,5.764204233,1.29E-12,3.76E-12
PRR7,0.996830544,2.348144635,1.30E-12,3.80E-12
NLRX1,0.678033408,4.434890604,1.31E-12,3.82E-12
RNASET2,0.727390632,3.545534089,1.34E-12,3.90E-12
FOXD4,2.085829855,0.36229946,1.34E-12,3.91E-12
KIFC2,0.96652556,3.193768827,1.36E-12,3.97E-12
OTUB1,-0.431809795,6.35832738,1.36E-12,3.97E-12
GSTO1,0.620304388,4.047454803,1.39E-12,4.04E-12
NKD1,-1.036210234,2.418184074,1.39E-12,4.05E-12
