Gene,logFC,logCPM,p value,FDR
CREB3L2,-1.970162332,7.297886398,2.95E-227,1.61E-225
CYP19A1,-3.005050425,4.785895989,6.70E-225,3.65E-223
PLA2G15,-2.043267238,6.038198121,7.25E-225,3.93E-223
DAB2,-1.820465165,7.296522675,1.08E-224,5.82E-223
CCDC97,-2.106189845,6.219809292,6.26E-224,3.36E-222
CHSY1,-1.806735722,7.301309753,8.10E-224,4.34E-222
SPON2,-3.968058075,4.357165273,3.21E-223,1.71E-221
HMG20B,-1.820141721,8.475209234,3.61E-223,1.92E-221
TGFBR2,-1.867450028,6.888424263,1.08E-222,5.74E-221
PLEKHA2,-2.427402134,5.432984101,1.59E-222,8.39E-221
TMEM214,-1.796914318,7.50301202,2.55E-221,1.34E-219
CKMT1B,-3.297127334,4.006596483,4.87E-220,2.55E-218
CEP170B,-2.020184975,8.688445231,5.86E-220,3.05E-218
DBN1,2.228780452,5.477203291,7.32E-220,3.80E-218
KIAA0100,-1.614573533,8.66201263,1.59E-219,8.23E-218
PLXNA2,1.790446405,7.982739824,1.64E-219,8.45E-218
FNDC3A,-1.809433988,7.171440257,5.10E-219,2.62E-217
LSS,-2.104408879,8.209067843,7.42E-219,3.79E-217
CNNM4,-2.082597291,5.828738553,1.75E-218,8.92E-217
FIGNL2,3.69171289,4.482227159,2.08E-218,1.06E-216
FBXO32,-3.305839805,4.178659909,2.17E-218,1.10E-216
STAT5B,-1.839866733,6.866638636,2.51E-217,1.26E-215
TMEM184B,-1.732691604,7.63385279,1.68E-216,8.43E-215
DDAH1,2.081751353,6.402277347,1.91E-216,9.51E-215
NUAK1,2.144393675,5.591520233,2.28E-216,1.13E-214
CACNA1S,3.271240484,4.176336848,5.65E-215,2.80E-213
S100P,-2.065835489,8.354468332,1.71E-214,8.45E-213
TFAP2C,-1.618450473,9.097515484,1.89E-214,9.29E-213
SLCO4A1,-1.856748386,7.76942307,6.26E-213,3.07E-211
GCNT1,-1.875868528,7.257532824,2.13E-211,1.04E-209
PSMB10,2.122355034,6.27099806,2.81E-211,1.37E-209
DLG5,-1.746778729,8.83729876,5.98E-211,2.90E-209
ANXA1,-2.255147697,8.076117071,9.46E-210,4.57E-208
IRF2BP2,-1.635858006,8.264580005,1.34E-208,6.47E-207
GJA5,1.822304745,7.158290546,1.75E-208,8.38E-207
SLC6A19,-1.802909252,7.645907987,5.09E-208,2.43E-206
FAM131A,-2.144392436,6.433939328,1.53E-207,7.30E-206
PLPP3,-1.682682563,7.337986832,1.66E-207,7.85E-206
GPR32,-1.894912503,6.83059529,3.36E-207,1.59E-205
FYN,-3.743515448,3.761299501,3.44E-207,1.62E-205
SLC20A1,-1.660341586,7.596356685,7.64E-207,3.58E-205
GPT2,-1.858217068,7.507996321,1.84E-206,8.58E-205
SQLE,-1.800732975,6.85012018,3.28E-206,1.53E-204
NLRP7,1.896068975,6.967755486,3.41E-205,1.58E-203
PHYHIP,-2.799110591,4.548985067,4.25E-205,1.97E-203
DUSP9,-2.261521836,7.478181928,6.26E-204,2.89E-202
CLPTM1L,-1.646979808,9.113180872,9.61E-204,4.42E-202
ST3GAL2,3.118411757,4.33039208,1.41E-203,6.44E-202
NCOA3,-1.604020269,9.447621456,1.49E-202,6.78E-201
FTL,-1.69913348,11.49368597,2.66E-202,1.21E-200
SQSTM1,-1.768074426,10.65690322,6.03E-202,2.73E-200
DTX4,1.853626659,6.526957308,2.38E-201,1.07E-199
HSD11B2,-3.394650959,5.584298788,4.23E-201,1.90E-199
C8G,-3.189075203,4.633501836,1.53E-199,6.85E-198
UBAP1,-1.88284753,6.473171966,1.76E-199,7.87E-198
WNT11,2.210239113,5.522468982,2.81E-199,1.25E-197
COL9A2,3.376274945,3.969837745,3.15E-199,1.40E-197
ALPPL2,-1.915909858,6.440307927,9.95E-199,4.40E-197
ZBTB38,-1.893822304,6.2663797,3.05E-198,1.35E-196
SHANK2,-1.889723606,6.288495425,3.81E-198,1.68E-196
JPH2,3.014838467,5.136402511,7.83E-198,3.43E-196
BGN,-3.517549376,4.610823663,1.16E-197,5.07E-196
COL16A1,3.135515987,4.246251732,5.04E-197,2.19E-195
CPM,-2.293391079,5.492314826,1.76E-196,7.62E-195
ATP2B4,-1.646343416,9.091266523,4.34E-196,1.88E-194
KRT23,-1.769520349,6.631154426,4.59E-196,1.98E-194
TCF7L1,4.213428412,3.588766251,4.91E-196,2.11E-194
C3,2.552619219,4.869784143,8.56E-196,3.66E-194
BRD2,-1.704253261,9.032227341,1.61E-195,6.86E-194
KLHL8,-2.05304293,5.600499927,2.30E-195,9.80E-194
MXD1,-1.873291214,6.653210591,2.55E-195,1.08E-193
MYCL,2.097702343,5.339476876,2.59E-195,1.10E-193
ELL2,-2.063794806,5.645216503,2.85E-195,1.20E-193
RIPOR2,-1.865104561,6.558350834,9.83E-195,4.13E-193
EPS8L1,-2.075544735,9.434481237,1.44E-194,6.02E-193
ETV7,3.269463991,4.06625735,1.49E-192,6.20E-191
SWAP70,-1.623843455,7.34098961,2.42E-192,1.01E-190
NABP1,-1.789788707,6.423361203,3.17E-192,1.31E-190
ACHE,3.714563722,3.732151945,5.04E-191,2.09E-189
GATA6,2.024966885,6.266764459,9.81E-191,4.04E-189
KDM3A,-1.810775657,6.352976086,2.39E-190,9.83E-189
LHFPL2,2.310116896,5.258958712,2.79E-190,1.14E-188
THEM5,-6.901293267,2.766588931,5.44E-189,2.22E-187
ZDHHC14,-1.811633025,6.719694537,5.14E-188,2.09E-186
IMPA2,-1.651744195,9.327683444,5.08E-187,2.06E-185
AXIN2,-1.764152612,6.54383364,2.69E-185,1.09E-183
COLEC12,-1.918844226,6.126624032,6.89E-185,2.78E-183
NHSL1,-2.094648193,6.606122405,1.17E-184,4.71E-183
SPNS2,2.048135941,5.526761431,4.95E-183,1.98E-181
PRSS22,2.915934155,4.468070748,7.74E-183,3.09E-181
CDK8,-1.747284958,6.359199676,1.29E-182,5.13E-181
GALNT2,-1.60256697,9.01730336,4.45E-182,1.77E-180
SELENOS,-1.910494308,6.096511874,4.51E-182,1.79E-180
EIF2AK1,-1.717996264,7.578383214,6.27E-181,2.48E-179
FAM169A,1.883066576,6.552272717,1.21E-180,4.77E-179
SIN3B,-1.603122813,8.368698193,3.96E-180,1.56E-178
TBC1D10A,-1.785235113,6.186572199,4.35E-180,1.70E-178
RHOB,-1.602392937,9.015674271,2.54E-179,9.90E-178
ADCY7,-2.451369588,4.718598452,5.28E-179,2.05E-177
SALL4,2.764738431,4.6204905,5.91E-179,2.29E-177
MUC4,4.370608127,3.31103309,1.18E-178,4.55E-177
SLC3A2,-1.68609667,10.82942705,3.83E-178,1.48E-176
CMTM3,1.672306774,6.654387744,5.61E-178,2.16E-176
KHK,-2.993445775,4.268664236,8.43E-178,3.23E-176
TINCR,-1.644202779,7.921765051,4.64E-177,1.77E-175
FBRS,-2.565170329,7.192148553,5.64E-177,2.15E-175
CLIP1,-1.453067259,9.127166255,5.86E-177,2.23E-175
TIPARP,-1.945434519,5.765001154,6.86E-177,2.60E-175
PPP1R15B,-1.495897369,9.398236206,1.11E-176,4.18E-175
RELT,-2.085505666,5.683897108,1.90E-176,7.17E-175
KCTD15,3.366187584,3.719278138,7.32E-176,2.75E-174
ZNF292,-1.644652653,8.272956628,5.42E-175,2.03E-173
IER3,-1.728223565,6.434652843,6.32E-175,2.36E-173
ZNF488,-4.901341935,3.066343823,7.15E-175,2.67E-173
ETV5,-2.909335874,4.013687358,1.58E-174,5.86E-173
RUBCN,-1.999169956,5.574392181,5.05E-174,1.87E-172
RASGRF2,1.546997624,7.267262107,1.33E-173,4.90E-172
BACE2,-3.697398838,3.6535495,1.99E-173,7.34E-172
SEC24D,-1.747176098,7.363667652,7.34E-173,2.70E-171
GLTP,-1.962704952,5.355142429,1.16E-172,4.25E-171
INSL4,-3.725449468,3.968822666,3.78E-172,1.38E-170
TPBG,-1.818110711,7.269731993,8.93E-172,3.25E-170
CKMT1A,-3.132978591,3.844190828,1.45E-171,5.26E-170
ARID5B,-1.965658593,5.610714822,4.96E-171,1.80E-169
AQP3,-2.287200282,4.826087731,5.54E-171,2.00E-169
INSIG1,-1.555389337,8.462554472,5.61E-171,2.02E-169
ATG2B,-1.624800883,6.98445193,5.22E-169,1.88E-167
IL10RA,-3.890472204,3.175655372,1.13E-168,4.06E-167
METAP1,1.651715314,6.467996108,2.16E-168,7.73E-167
KRT86,-3.130871105,3.662930938,2.30E-168,8.19E-167
LAMB4,3.603167357,3.599749318,2.67E-168,9.51E-167
PRSS8,1.488275697,7.994303704,3.51E-168,1.24E-166
SLC35D1,2.13070153,5.154307432,1.75E-167,6.19E-166
VEZT,-1.678832265,6.922332101,1.91E-166,6.73E-165
GOLGA2,-1.594281524,7.842861971,5.86E-166,2.06E-164
LAMA1,1.468633285,8.901358766,3.29E-165,1.15E-163
AHCYL1,-1.463365328,8.275165827,3.45E-165,1.21E-163
SLC15A2,3.987543399,3.288587931,4.55E-164,1.59E-162
GCM1,-1.491129355,8.537622337,5.86E-164,2.04E-162
SERPINH1,1.617870489,6.419904218,6.57E-164,2.28E-162
CDH4,-2.56722048,4.289804476,1.24E-163,4.30E-162
SLC7A1,-1.505027058,8.041105549,1.69E-163,5.85E-162
CEP85,-1.80767857,8.848994626,1.92E-163,6.63E-162
SLC4A2,-1.590863985,9.148770317,2.39E-163,8.22E-162
ST3GAL5,3.334244641,3.78179567,3.96E-163,1.36E-161
FUT8,1.60899747,7.17085424,6.34E-163,2.17E-161
EPAS1,-1.423708184,10.32555424,1.07E-162,3.66E-161
PRKCH,-1.470684405,8.504305623,3.14E-162,1.07E-160
EXO1,-1.547561628,7.27886726,3.20E-162,1.09E-160
CLIC3,-1.527555529,7.284060523,1.24E-161,4.18E-160
TEAD2,2.164441762,4.97649829,3.05E-161,1.03E-159
CEP68,-1.602635196,7.137598804,1.01E-160,3.39E-159
MPP7,-1.573017894,6.955452442,2.23E-160,7.49E-159
SLAIN2,-1.667751238,6.789801782,3.91E-160,1.31E-158
HES2,-1.986102645,6.895991501,5.25E-160,1.76E-158
ABHD5,-1.577802922,7.302706535,7.19E-160,2.40E-158
RAB11FIP1,-1.382501469,8.540420291,9.25E-160,3.07E-158
